lat,lon
10.107,-68.209
10.507,-67.931
10.349,-68.151
10.285,-67.987
10.312,-68.085
10.35,-68.067
10.28,-68.08
10.348,-68.091
10.357,-68.09
10.344,-68.023
10.335,-68.117
10.321,-68.148
10.367,-68.157
10.333,-68.129
10.334,-68.008
10.303,-68.078
10.336,-68.096
10.337,-68.135
10.266,-68.069
10.247,-68.102
10.267,-68.054
10.212,-68.051
10.292,-68.068
10.413,-67.988
10.418,-67.993
10.334,-68.112
10.35,-68.038
10.341,-68.128
10.298,-68.11
10.314,-68.104
10.808,-67.518
10.224,-67.228
10.35,-68.067
10.161,-67.74
10.668,-67.575
10.352,-62.472
8.261,-72.186
8.181,-72.302
8.296,-72.153
