lat,lon,depth
10.107,-68.209,22.9
10.507,-67.931,3.4
10.349,-68.151,14.3
10.285,-67.987,5.0
10.312,-68.085,5.0
10.35,-68.067,9.0
10.28,-68.08,3.8
10.348,-68.091,15.5
10.357,-68.09,21.0
10.344,-68.023,23.4
10.335,-68.117,17.2
10.321,-68.148,18.5
10.367,-68.157,18.9
10.333,-68.129,19.6
10.334,-68.008,30.0
10.303,-68.078,6.8
10.336,-68.096,24.4
10.337,-68.135,17.2
10.266,-68.069,20.6
10.247,-68.102,9.8
10.267,-68.054,8.0
10.212,-68.051,5.0
10.292,-68.068,15.5
10.413,-67.988,29.9
10.418,-67.993,40.3
10.334,-68.112,17.8
10.35,-68.038,23.9
10.341,-68.128,12.7
10.298,-68.11,11.3
10.314,-68.104,21.6
10.808,-67.518,13.1
10.224,-67.228,10.8
10.35,-68.067,9.0
10.161,-67.74,2.9
10.668,-67.575,5.0
10.352,-62.472,19.3
8.261,-72.186,0.0
8.181,-72.302,5.0
8.296,-72.153,5.0
